room_id,room_number,room_type,price_per_night,status
R001,101,Standard,4500,Available
R002,102,Standard,4500,Booked
R003,103,Deluxe,6500,Available
R004,104,Standard,4500,Maintenance
R005,105,Deluxe,6500,Booked
R006,201,Suite,12000,Available
R007,202,Deluxe,6500,Booked
R008,203,Standard,4500,Available
R009,204,Suite,12000,Booked
R010,205,Deluxe,6500,Available
R011,301,Suite,12000,Available
R012,302,Standard,4500,Booked
R013,303,Deluxe,6500,Maintenance
R014,304,Standard,4500,Available
R015,305,Suite,12000,Booked
R016,306,Standard,4500,Available
R017,307,Deluxe,6500,Available
R018,308,Suite,12000,Available
R019,309,Standard,4500,Available
R020,310,Deluxe,6500,Available
R021,311,Suite,12000,Available
R022,312,Standard,4500,Available
R023,313,Deluxe,6500,Available
R024,314,Suite,12000,Available
R025,315,Standard,4500,Available
R026,316,Deluxe,6500,Available
R027,317,Suite,12000,Available
R028,318,Standard,4500,Available
R029,319,Deluxe,6500,Available
R030,320,Suite,12000,Available
R031,321,Standard,4500,Available
R032,322,Deluxe,6500,Available
R033,323,Suite,12000,Available
R034,324,Standard,4500,Available
R035,325,Deluxe,6500,Available
R036,326,Suite,12000,Available
R037,327,Standard,4500,Available
R038,328,Deluxe,6500,Available
R039,329,Suite,12000,Available
R040,330,Standard,4500,Available
R041,331,Deluxe,6500,Available
R042,332,Suite,12000,Available
R043,333,Standard,4500,Available
R044,334,Deluxe,6500,Available
R045,335,Suite,12000,Available
R046,336,Standard,4500,Available
R047,337,Deluxe,6500,Available
R048,338,Suite,12000,Available
R049,339,Standard,4500,Available
R050,340,Deluxe,6500,Available
R051,341,Suite,12000,Available
R052,342,Standard,4500,Available
R053,343,Deluxe,6500,Available
R054,344,Suite,12000,Available
R055,345,Standard,4500,Available
R056,346,Deluxe,6500,Available
R057,347,Suite,12000,Available
R058,348,Standard,4500,Available
R059,349,Deluxe,6500,Available
R060,350,Suite,12000,Available
